worker_idx,round,loss,time,timedelta
2,1,0.7536801815032959,2025-07-25 11:04:42.448709,0 days 00:00:00
3,1,0.7104336738586425,2025-07-25 11:04:42.458914,0 days 00:00:00.010205
1,1,0.6889289855957031,2025-07-25 11:04:42.469587,0 days 00:00:00.020878
4,1,0.7772010803222656,2025-07-25 11:04:42.481643,0 days 00:00:00.032934
2,2,0.7474623680114746,2025-07-25 11:04:42.488634,0 days 00:00:00.039925
5,1,0.768189811706543,2025-07-25 11:04:42.496534,0 days 00:00:00.047825
2,3,0.7456368446350098,2025-07-25 11:04:42.502252,0 days 00:00:00.053543
4,2,0.7659722328186035,2025-07-25 11:04:42.510394,0 days 00:00:00.061685
3,2,0.7037858009338379,2025-07-25 11:04:42.517962,0 days 00:00:00.069253
1,2,0.6875188827514649,2025-07-25 11:04:42.527315,0 days 00:00:00.078606
5,2,0.7629242420196534,2025-07-25 11:04:42.533825,0 days 00:00:00.085116
2,4,0.738020658493042,2025-07-25 11:04:42.537712,0 days 00:00:00.089003
4,3,0.7619431495666504,2025-07-25 11:04:42.543466,0 days 00:00:00.094757
1,3,0.6830078125,2025-07-25 11:04:42.590857,0 days 00:00:00.142148
3,3,0.7016696929931641,2025-07-25 11:04:42.625084,0 days 00:00:00.176375
5,3,0.7570937156677247,2025-07-25 11:04:42.638359,0 days 00:00:00.189650
2,5,0.7296210289001465,2025-07-25 11:04:42.647049,0 days 00:00:00.198340
4,4,0.7494451999664307,2025-07-25 11:04:42.650851,0 days 00:00:00.202142
1,4,0.677482795715332,2025-07-25 11:04:42.655120,0 days 00:00:00.206411
3,4,0.6947599411010742,2025-07-25 11:04:42.661551,0 days 00:00:00.212842
2,6,0.7261117935180664,2025-07-25 11:04:42.666908,0 days 00:00:00.218199
5,4,0.7476213455200196,2025-07-25 11:04:42.671794,0 days 00:00:00.223085
3,5,0.6908231735229492,2025-07-25 11:04:42.680810,0 days 00:00:00.232101
1,5,0.6713866710662841,2025-07-25 11:04:42.684947,0 days 00:00:00.236238
4,5,0.7402862548828125,2025-07-25 11:04:42.687728,0 days 00:00:00.239019
2,7,0.7200774192810059,2025-07-25 11:04:42.693625,0 days 00:00:00.244916
5,5,0.7439290046691894,2025-07-25 11:04:42.697248,0 days 00:00:00.248539
1,6,0.6671824932098389,2025-07-25 11:04:42.701310,0 days 00:00:00.252601
3,6,0.6827993392944336,2025-07-25 11:04:42.707522,0 days 00:00:00.258813
1,7,0.6613736152648926,2025-07-25 11:04:42.713231,0 days 00:00:00.264522
4,6,0.7278549194335937,2025-07-25 11:04:42.718587,0 days 00:00:00.269878
5,6,0.7348588943481446,2025-07-25 11:04:42.725663,0 days 00:00:00.276954
3,7,0.6819421768188476,2025-07-25 11:04:42.729235,0 days 00:00:00.280526
2,8,0.7097356796264649,2025-07-25 11:04:42.732867,0 days 00:00:00.284158
4,7,0.7224969863891602,2025-07-25 11:04:42.736912,0 days 00:00:00.288203
5,7,0.7296261310577392,2025-07-25 11:04:42.742717,0 days 00:00:00.294008
1,8,0.6588077068328857,2025-07-25 11:04:42.745847,0 days 00:00:00.297138
4,8,0.7175971984863281,2025-07-25 11:04:42.750021,0 days 00:00:00.301312
3,8,0.6766481876373291,2025-07-25 11:04:42.753713,0 days 00:00:00.305004
2,9,0.7000887393951416,2025-07-25 11:04:42.759267,0 days 00:00:00.310558
5,8,0.7270605087280273,2025-07-25 11:04:42.762399,0 days 00:00:00.313690
1,9,0.6550378322601318,2025-07-25 11:04:42.765438,0 days 00:00:00.316729
2,10,0.695412540435791,2025-07-25 11:04:42.769797,0 days 00:00:00.321088
3,9,0.6728842258453369,2025-07-25 11:04:42.775184,0 days 00:00:00.326475
4,9,0.7083433151245118,2025-07-25 11:04:42.778342,0 days 00:00:00.329633
2,11,0.6921972274780274,2025-07-25 11:04:42.781851,0 days 00:00:00.333142
3,10,0.669737434387207,2025-07-25 11:04:42.784879,0 days 00:00:00.336170
5,9,0.7211435317993165,2025-07-25 11:04:42.788724,0 days 00:00:00.340015
1,10,0.6501786708831787,2025-07-25 11:04:42.793058,0 days 00:00:00.344349
2,12,0.6897357940673828,2025-07-25 11:04:42.796590,0 days 00:00:00.347881
4,10,0.6997920989990234,2025-07-25 11:04:42.800824,0 days 00:00:00.352115
5,10,0.7152838706970215,2025-07-25 11:04:42.804337,0 days 00:00:00.355628
3,11,0.6667576789855957,2025-07-25 11:04:42.808554,0 days 00:00:00.359845
1,11,0.6482622623443604,2025-07-25 11:04:42.811708,0 days 00:00:00.362999
2,13,0.6842479705810547,2025-07-25 11:04:42.815220,0 days 00:00:00.366511
5,11,0.712712574005127,2025-07-25 11:04:42.835700,0 days 00:00:00.386991
4,11,0.6951324939727783,2025-07-25 11:04:42.855137,0 days 00:00:00.406428
1,12,0.6452719688415527,2025-07-25 11:04:42.885508,0 days 00:00:00.436799
3,12,0.663968849182129,2025-07-25 11:04:42.903530,0 days 00:00:00.454821
2,14,0.6805514335632324,2025-07-25 11:04:42.940668,0 days 00:00:00.491959
3,13,0.6609810829162598,2025-07-25 11:04:42.949465,0 days 00:00:00.500756
2,15,0.6733907699584961,2025-07-25 11:04:42.967780,0 days 00:00:00.519071
5,12,0.7070245742797852,2025-07-25 11:04:42.997634,0 days 00:00:00.548925
3,14,0.6576663017272949,2025-07-25 11:04:43.002372,0 days 00:00:00.553663
1,13,0.6406602382659912,2025-07-25 11:04:43.007167,0 days 00:00:00.558458
2,16,0.671327781677246,2025-07-25 11:04:43.013094,0 days 00:00:00.564385
4,12,0.6837410449981689,2025-07-25 11:04:43.018715,0 days 00:00:00.570006
2,17,0.667487621307373,2025-07-25 11:04:43.026604,0 days 00:00:00.577895
1,14,0.6385153770446778,2025-07-25 11:04:43.030738,0 days 00:00:00.582029
3,15,0.6520888805389404,2025-07-25 11:04:43.036286,0 days 00:00:00.587577
5,13,0.7026413917541504,2025-07-25 11:04:43.044459,0 days 00:00:00.595750
4,13,0.6790007591247559,2025-07-25 11:04:43.049719,0 days 00:00:00.601010
1,15,0.6341800212860107,2025-07-25 11:04:43.057262,0 days 00:00:00.608553
3,16,0.6513911247253418,2025-07-25 11:04:43.062203,0 days 00:00:00.613494
2,18,0.6619462013244629,2025-07-25 11:04:43.071346,0 days 00:00:00.622637
4,14,0.6752509117126465,2025-07-25 11:04:43.082758,0 days 00:00:00.634049
